Custom Office,Reg Number,Importer,HS Code,FOB Value (N),CIF Value (N),Total Tax(N),Receipt Number,Receipt Date,Mass(KG),Country  of Origin,Country  of Supply,Nbr Of Containers,Container Nbr,Container Size
HM CARGO,C10195,69582,6500000,47895,71338,21611,R10279,2021-02-15,47,United States,United States,0,N/A,N/A
HM CARGO,C100511,60087,17700000,1891380,3122970,203099,R99154,2021-08-12,221,Hong Kong,China,0,N/A,N/A
HM CARGO,C100522,98649,36500000,80084,81086,15748,R101465,2021-12-19,0,Germany,Germany,0,N/A,N/A
HM CARGO,C100523,60056,4402000,44015,127843,9412,R98730,2021-07-12,19,Belgium,Belgium,0,N/A,N/A
HM CARGO,C100524,15998,44200000,887930,1034330,300022,R97161,2021-05-12,96,Italy,Italy,0,N/A,N/A
HM CARGO,C100529,85395,38900000,417065,460482,57097,R101470,2021-12-19,5,Germany,Germany,0,N/A,N/A
HM CARGO,C100531,79348,37100000,2272630,2684755,325019,R100395,2021-12-15,4,Germany,Germany,0,N/A,N/A
HM CARGO,C100533,51007,39490000,10280683,10457356,3036621,R97083,2021-02-12,495,Germany,Germany,0,N/A,N/A
HM CARGO,C100537,97874,17180000,4973100,9087550,1576607,R96532,2021-01-12,2164,China,China,0,N/A,N/A
HM CARGO,C100542,60087,44700000,565240,990105,117665,R99631,2021-12-13,238,China,China,0,N/A,N/A
HM CARGO,C100542,60087,17700000,126040,219980,15621,R99631,2021-12-13,100,China,China,0,N/A,N/A
HM CARGO,C100546,60087,17700000,475265,513695,36296,R99095,2021-08-12,22,China,China,0,N/A,N/A
HM CARGO,C100548,61090,37100000,214800,288715,35832,R101492,2021-12-19,10,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C100548,61090,36690000,39114,52114,24095,R101492,2021-12-19,10,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C100553,87523,48900000,172400,289215,51600,R96549,2021-01-12,88,Ireland,Ireland,0,N/A,N/A
HM CARGO,C100561,60779,4401000,570425,949235,62727,R98739,2021-07-12,41,Philippines,Netherlands,0,N/A,N/A
HM CARGO,C100561,60779,36300000,4955,7090,3174,R98739,2021-07-12,41,China,Netherlands,0,N/A,N/A
HM CARGO,C100565,28173,4401000,83950,91270,7671,R98740,2021-07-12,1,United States,United States,0,N/A,N/A
HM CARGO,C100568,60056,17120000,613430,630510,113432,R98741,2021-07-12,2,China,United Arab Emirates,0,N/A,N/A
HM CARGO,C100569,61090,44300000,7395,9835,3968,R101483,2021-12-19,20,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C100569,61090,46900000,877560,1238985,148948,R101483,2021-12-19,11,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C100570,60087,17700000,262680,273050,20093,R99096,2021-08-12,6,China,China,0,N/A,N/A
HM CARGO,C100580,3830,23490000,1718899,1738938,506001,R4242,2022-01-17,1,Germany,Germany,0,N/A,N/A
HM CARGO,C10203,21757,6500000,154669,174566,51631,R10564,2021-02-15,15,Belgium,Belgium,0,N/A,N/A
HM CARGO,C100597,26231,17180000,1111495,1722105,301613,R96798,2021-02-12,1085,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C100599,64110,44420000,312090,349300,102200,R99162,2021-08-12,6,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C100600,84231,6500000,171790,263290,76649,R96573,2021-01-12,268,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C100606,84958,36690000,64735,68090,31351,R101511,2021-12-19,4,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100607,36766,31100000,251700,427075,51637,R96581,2021-01-12,266,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C100616,85395,44420000,105800,141201,41778,R101519,2021-12-19,6,Germany,Germany,0,N/A,N/A
HM CARGO,C10207,86853,4409000,214163,267747,19297,R13148,2021-02-24,22,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C10207,86853,36500000,32529,40409,8432,R13148,2021-02-24,5,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100639,60056,36900000,179720,185515,34297,R100012,2021-12-14,1,United States,United States,0,N/A,N/A
HM CARGO,C100639,60056,29900000,428600,442630,80002,R100012,2021-12-14,1,United States,United States,0,N/A,N/A
HM CARGO,C100646,64110,44420000,33320,43995,13803,R101505,2021-12-19,2,Poland,United Arab Emirates,0,N/A,N/A
HM CARGO,C100646,64110,41401000,17460,22645,1865,R101505,2021-12-19,2,China,United Arab Emirates,0,N/A,N/A
HM CARGO,C100646,64110,38900000,35455,46740,6986,R101505,2021-12-19,2,Germany,United Arab Emirates,0,N/A,N/A
HM CARGO,C100648,86853,7600000,34540,85780,25514,R97061,2021-02-12,0,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100654,86853,7600000,37590,88830,26400,R97062,2021-02-12,1,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100661,64110,36900000,7090,9835,3040,R101490,2021-12-19,2,United States,United Arab Emirates,0,N/A,N/A
HM CARGO,C100687,60056,17120000,764100,817475,146349,R7146,2022-01-25,10,United States,United States,0,N/A,N/A
HM CARGO,C100691,3830,17620000,451464,459480,57383,R4916,2022-01-18,1,Germany,Germany,0,N/A,N/A
HM CARGO,C100693,73038,42390000,362110,457880,56310,R2692,2022-11-01,3,Germany,Germany,0,N/A,N/A
HM CARGO,C100695,56457,36500000,390780,406030,73471,R102529,2021-12-21,0,France,France,0,N/A,N/A
HM CARGO,C100696,69582,36410000,88220,141290,41618,R97095,2021-02-12,20,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C10215,18042,27130000,149350,264004,76614,R10330,2021-02-15,267,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C100717,55736,17180000,93100,108960,20555,R96629,2021-01-12,2,"Korea, Republic of","Korea, Republic of",0,N/A,N/A
HM CARGO,C10216,60087,17620000,82627,121099,15796,R13150,2021-02-24,13,Estonia,Netherlands,0,N/A,N/A
HM CARGO,C100731,60096,36900000,234925,275795,50007,R98634,2021-07-12,65,United States,United States,0,N/A,N/A
HM CARGO,C100732,60096,36900000,184600,201375,37006,R98614,2021-07-12,69,United States,United States,0,N/A,N/A
HM CARGO,C100742,85729,18290000,50400,75410,22778,R8243,2022-01-26,83,United States,United States,0,N/A,N/A
HM CARGO,C100748,60056,43700000,3387100,3431935,419654,R3121,2022-12-01,2,Switzerland,Switzerland,0,N/A,N/A
HM CARGO,C100750,89225,17620000,1845190,1999731,1600,Unknown,,34,Australia,Australia,0,N/A,N/A
HM CARGO,C100757,71449,37100000,307515,317275,39989,R102531,2021-12-21,3,France,France,0,N/A,N/A
HM CARGO,C10220,79620,44300000,35090,46516,14528,R13143,2021-02-24,6,Republic of South Africa,Republic of South Africa,0,N/A,N/A
HM CARGO,C100761,20259,44200000,1142300,2234200,639195,R97111,2021-02-12,930,Germany,Germany,0,N/A,N/A
HM CARGO,C100764,60056,25600000,2029850,2054860,142000,R2719,2022-11-01,1,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100775,9661,17180000,3661295,6001428,1045600,R96766,2021-02-12,2120,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C100778,44077,43700000,115670,120855,16099,R2676,2022-11-01,0,Belgium,Belgium,0,N/A,N/A
HM CARGO,C100786,13417,44491000,660705,1289615,224396,R969,2022-04-01,348,France,France,0,N/A,N/A
HM CARGO,C100801,34543,26100000,650858,692458,85399,R96783,2021-02-12,13,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C100802,60056,44420000,478620,509120,148691,R20494,2022-01-03,10,Germany,Germany,0,N/A,N/A
HM CARGO,C100808,97874,17180000,3448100,6378845,1106617,R96756,2021-02-12,1872,China,China,0,N/A,N/A
HM CARGO,C100809,97874,17180000,2594100,4535120,788640,R96755,2021-02-12,1399,China,China,0,N/A,N/A
HM CARGO,C100810,44077,11500000,79170755,85487000,15160230,R97129,2021-02-12,9288,United States,United States,0,N/A,N/A
HM CARGO,C100817,16149,44700000,985156,1201238,145599,R953,2022-04-01,45,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100820,60056,23510000,566018,576372,168436,R962,2022-04-01,0,Germany,Germany,0,N/A,N/A
HM CARGO,C100820,60056,23520000,55036,56038,37411,R962,2022-04-01,0,Germany,Germany,0,N/A,N/A
HM CARGO,C100823,3830,36690000,56706,58376,27018,R4682,2022-01-17,10,Germany,Germany,0,N/A,N/A
HM CARGO,C100823,3830,38900000,2917870,3003702,366733,R4682,2022-01-17,2,Germany,Germany,0,N/A,N/A
HM CARGO,C100823,3830,17620000,330899,340585,42860,R4682,2022-01-17,2,Germany,Germany,0,N/A,N/A
HM CARGO,C100826,6407,17700000,47350,58940,5413,R101810,2021-12-20,2,China,China,0,N/A,N/A
HM CARGO,C100827,70537,17620000,245600,284640,35742,R101814,2021-12-20,8,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C100842,69009,17620000,4145025,5132005,617642,R98751,2021-07-12,300,China,China,0,N/A,N/A
HM CARGO,C100842,69009,44499000,517050,639965,185725,R98751,2021-07-12,169,China,China,0,N/A,N/A
HM CARGO,C100842,69009,44700000,636000,787280,95807,R98751,2021-07-12,100,China,China,0,N/A,N/A
HM CARGO,C100844,94060,17620000,425748,600417,72911,R101808,2021-12-20,37,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100845,71822,17620000,383765,471300,58029,R101809,2021-12-20,15,Japan,Japan,0,N/A,N/A
HM CARGO,C100850,62065,4401000,1863930,1893515,130902,R101820,2021-12-20,2,Singapore,Singapore,0,N/A,N/A
HM CARGO,C100852,84917,44200000,473435,625935,181939,R98192,2021-07-12,557,Switzerland,Switzerland,0,N/A,N/A
HM CARGO,C100854,42890,37100000,1051258,1070944,131775,R101826,2021-12-20,2,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C100857,14597,17700000,428600,459100,32635,R97038,2021-02-12,48,Republic of South Africa,Republic of South Africa,0,N/A,N/A
HM CARGO,C100858,6407,17700000,215100,232180,17225,R101812,2021-12-20,3,China,China,0,N/A,N/A
HM CARGO,C100864,6407,16900000,33320,37590,7966,R101813,2021-12-20,5,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C100864,6407,21901000,36675,41250,13071,R101813,2021-12-20,5,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C10231,60056,23510000,185992,192887,57090,R11970,2021-02-19,1,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C100875,60779,36500000,374920,647590,113789,R101899,2021-12-20,49,Singapore,Singapore,0,N/A,N/A
HM CARGO,C10232,60056,7600000,23467,25437,8505,R11981,2021-02-19,2,China,United Arab Emirates,0,N/A,N/A
HM CARGO,C100881,60779,36500000,679615,1022740,179864,R101900,2021-12-20,56,Singapore,Singapore,0,N/A,N/A
HM CARGO,C100881,60779,36690000,276100,415180,185404,R101900,2021-12-20,30,Singapore,Singapore,0,N/A,N/A
HM CARGO,C100892,44077,44420000,2438245,2510530,729562,R98225,2021-07-12,500,Belgium,Belgium,0,N/A,N/A
HM CARGO,C100894,37592,17620000,4841900,5235656,636219,R101884,2021-12-20,52,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100894,37592,17700000,1710550,1849484,126793,R101884,2021-12-20,25,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100894,37592,37100000,26648,28652,4880,R101884,2021-12-20,25,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100897,69009,29100000,68556145,83481015,24091487,R98761,2021-08-12,10000,Sweden,Sweden,0,N/A,N/A
HM CARGO,C100897,69009,17620000,195835085,238469815,28668377,R98761,2021-08-12,12000,Sweden,Sweden,0,N/A,N/A
HM CARGO,C100897,69009,44420000,8085930,9846085,2842451,R98761,2021-08-12,2009,Sweden,Sweden,0,N/A,N/A
HM CARGO,C10236,60087,17620000,64574,85852,11668,R13151,2021-02-24,7,Sweden,Netherlands,0,N/A,N/A
HM CARGO,C100928,55841,3000000,4592086,5205933,629695,R101888,2021-12-20,125,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C100931,69009,44420000,22115625,25545350,7384772,R98762,2021-08-12,3277,Sweden,Sweden,0,N/A,N/A
HM CARGO,C100931,69009,17610000,188422670,217645025,38457063,R98762,2021-08-12,3277,Sweden,Sweden,0,N/A,N/A
HM CARGO,C100931,69009,17620000,70637160,81592150,9846098,R98762,2021-08-12,3277,Sweden,Sweden,0,N/A,N/A
HM CARGO,C100931,69009,29100000,9318435,10763525,3112229,R98762,2021-08-12,3277,Sweden,Sweden,0,N/A,N/A
HM CARGO,C100931,69009,37100000,2465390,2847555,344582,R98762,2021-08-12,3277,Sweden,Sweden,0,N/A,N/A
HM CARGO,C100931,69009,36690000,296535,342285,153732,R98762,2021-08-12,3277,Sweden,Sweden,0,N/A,N/A
HM CARGO,C100938,60087,17120000,157455,169655,31405,R101886,2021-12-20,1,China,China,0,N/A,N/A
HM CARGO,C100942,75480,44420000,2268,2268,1797,R101761,2021-12-20,0,Poland,Poland,0,N/A,N/A
HM CARGO,C100950,47968,17620000,1479020,1796220,217374,R98962,2021-08-12,58,United States,United States,0,N/A,N/A
HM CARGO,C100962,39506,36100000,304181,327559,59409,R101832,2021-12-20,3,Italy,Italy,0,N/A,N/A
HM CARGO,C100963,74620,4401000,266645,286775,20935,R101834,2021-12-20,2,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C10242,60056,28510000,297888,331772,41502,R11974,2021-02-19,6,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C100986,92040,26100000,459100,553955,10871,R101847,2021-12-20,20,France,France,0,N/A,N/A
HM CARGO,C10243,60779,36490000,3680291,4522160,1305758,R11762,2021-02-18,700,Spain,Spain,0,N/A,N/A
HM CARGO,C10243,60779,36200000,4496583,5525224,974560,R11762,2021-02-18,800,Spain,Spain,0,N/A,N/A
HM CARGO,C10243,60779,38900000,261232,320551,39868,R11762,2021-02-18,188,Spain,Spain,0,N/A,N/A
HM CARGO,C100993,44887,28590000,93109,144541,42581,R100686,2021-12-15,11,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C100994,38356,44700000,118491,158568,20320,R101839,2021-12-20,8,Germany,Germany,0,N/A,N/A
HM CARGO,C101002,82575,1100000,1290530,1346650,165009,R99166,2021-08-12,100,Sweden,Sweden,0,N/A,N/A
HM CARGO,C101004,60056,28510000,196600,305429,37504,R100699,2021-12-15,13,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C101004,60056,18300000,125286,194372,56867,R100699,2021-12-15,13,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C101005,61090,11300000,825850,989831,175885,R101843,2021-12-20,38,Germany,Germany,0,N/A,N/A
HM CARGO,C10245,60056,7600000,81188,87492,26483,R11971,2021-02-19,1,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C101011,61090,43700000,61048,85762,11623,R101844,2021-12-20,10,Germany,Germany,0,N/A,N/A
HM CARGO,C101020,61090,26920000,78080,87765,12006,R102449,2021-12-21,10,Germany,Germany,0,N/A,N/A
HM CARGO,C101021,61090,11400000,179110,201680,37000,R102455,2021-12-21,4,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C10247,57785,17180000,3744600,6867444,1191619,R10397,2021-02-15,5501,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C101034,60779,36200000,133520,202653,36685,R102452,2021-12-21,82,Spain,Spain,0,N/A,N/A
HM CARGO,C101034,60779,4401000,1226620,1867518,123008,R102452,2021-12-21,50,Spain,Spain,0,N/A,N/A
HM CARGO,C101034,60779,36490000,264772,402370,116560,R102452,2021-12-21,50,Spain,Spain,0,N/A,N/A
HM CARGO,C101036,46307,31800000,38200,59245,11648,R97596,2021-05-12,78,"Taiwan, Province of China","Taiwan, Province of China",0,N/A,N/A
HM CARGO,C101042,61185,42310000,7405492,7737129,942019,R97200,2021-05-12,414,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C101048,85431,14200000,209000,309955,21714,R97039,2021-02-12,71,India,India,0,N/A,N/A
HM CARGO,C10249,18064,36500000,61488,63261,12566,R13159,2021-02-24,1,Switzerland,Switzerland,0,N/A,N/A
HM CARGO,C101051,60056,17120000,238722,242396,44449,R101767,2021-12-20,0,China,Germany,0,N/A,N/A
HM CARGO,C101055,67828,17180000,3737850,6360850,1106643,R97049,2021-02-12,2024,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C101057,67828,17180000,2917400,4514990,788661,R97051,2021-02-12,1416,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C101058,67828,17180000,1877350,3016830,526650,R97052,2021-02-12,820,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C101059,60056,39490000,101459,107137,32196,R101757,2021-12-20,1,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C101072,26208,40890000,250480,433490,76600,R97048,2021-02-12,320,Republic of South Africa,Republic of South Africa,0,N/A,N/A
HM CARGO,C101076,60779,38100000,739351,2053542,237986,R102459,2021-12-21,200,Spain,Spain,0,N/A,N/A
HM CARGO,C101076,60779,36300000,839543,2332411,662913,R102459,2021-12-21,200,Spain,Spain,0,N/A,N/A
HM CARGO,C101076,60779,31800000,38337,103796,19116,R102459,2021-12-21,200,Spain,Spain,0,N/A,N/A
HM CARGO,C101076,60779,47200000,37669,101792,13184,R102459,2021-12-21,38,Spain,Spain,0,N/A,N/A
HM CARGO,C10252,75534,25500000,21754931,22539976,1538230,R13231,2021-02-24,493,Hong Kong,Republic of South Africa,0,N/A,N/A
HM CARGO,C101080,57176,3000000,1330790,1349700,165770,R102473,2021-12-21,1,Japan,Japan,0,N/A,N/A
HM CARGO,C101086,80190,17120000,152029,157972,29390,R907,2022-04-01,1,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C101089,60056,17620000,31795,36065,5764,R101769,2021-12-20,0,United States,United States,0,N/A,N/A
HM CARGO,C101094,52718,12300000,181550,288910,51645,R97098,2021-02-12,117,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C101095,29131,4900000,468250,777215,51642,R97078,2021-02-12,38,Austria,Austria,0,N/A,N/A
HM CARGO,C101102,80936,23800000,91270,135800,31887,R97079,2021-02-12,94,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C101103,86537,6800000,75715,106215,31668,R97096,2021-02-12,36,Italy,Italy,0,N/A,N/A
HM CARGO,C101105,60907,17180000,1038600,1726985,301664,R97267,2021-05-12,858,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C101106,20875,41100000,1022228,1078336,132403,R100314,2021-12-14,60,Germany,Germany,0,N/A,N/A
HM CARGO,C101116,41815,18300000,3997100,6906800,1976664,R97112,2021-02-12,4121,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C101118,85729,17620000,49790,52230,7754,R6098,2022-01-23,10,United States,United States,0,N/A,N/A
HM CARGO,C101128,59106,1100000,18415312,18601670,185737,Unknown,,0,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C101140,86503,17620000,210668,238388,30212,R2683,2022-11-01,6,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C101146,60779,38900000,121831,183950,23184,R101753,2021-12-20,10,Germany,Germany,0,N/A,N/A
HM CARGO,C101146,60779,36490000,71735,107804,32071,R101753,2021-12-20,10,Germany,Germany,0,N/A,N/A
HM CARGO,C101150,51794,17620000,123636400,150020730,1600,Unknown,,5346,China,China,0,N/A,N/A
HM CARGO,C101153,23501,37100000,33811765,34218025,4169175,R98681,2021-07-12,390,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C101156,260,11500000,367600,626850,1600,Unknown,,110,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C1170,28738,23520000,64272850,74592301,48970201,R2425,2021-01-13,8700,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C101163,72101,36690000,94445,105800,48158,R878,2022-04-01,1,Germany,Germany,0,N/A,N/A
HM CARGO,C101163,72101,36900000,2602,2602,1783,R878,2022-04-01,1,Germany,Germany,0,N/A,N/A
HM CARGO,C101164,98649,4409000,886968,979145,67642,R871,2022-04-01,12,Germany,Germany,0,N/A,N/A
HM CARGO,C101165,72101,7300000,126507,142204,42277,R877,2022-04-01,1,Germany,Germany,0,N/A,N/A
HM CARGO,C101169,72101,44420000,764733,857912,249340,R879,2022-04-01,23,Germany,Germany,0,N/A,N/A
HM CARGO,C10261,75327,36200000,230711,304192,55323,R14073,2021-02-28,110,Republic of South Africa,Republic of South Africa,0,N/A,N/A
HM CARGO,C101172,84958,23211000,77850,81205,53944,R898,2022-04-01,0,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C101174,6407,17700000,215405,240415,17711,R900,2022-04-01,4,China,China,0,N/A,N/A
HM CARGO,C101176,85395,1510000,137528,171928,22009,R905,2022-04-01,5,Germany,Germany,0,N/A,N/A
HM CARGO,C101176,85395,36500000,14291,17297,4366,R905,2022-04-01,5,Germany,Germany,0,N/A,N/A
HM CARGO,C101182,60087,17700000,11423545,15074090,997562,R101869,2021-12-20,644,China,Hong Kong,0,N/A,N/A
HM CARGO,C101183,60779,36490000,405376,938066,268006,R902,2022-04-01,319,Spain,Spain,0,N/A,N/A
HM CARGO,C101183,60779,36200000,1830113,4242415,731563,R902,2022-04-01,319,Spain,Spain,0,N/A,N/A
HM CARGO,C101184,76813,36300000,28135,54365,16652,R97183,2021-05-12,56,Spain,Spain,0,N/A,N/A
HM CARGO,C10264,57705,33210000,32726,36075,5771,R11846,2021-02-19,0,United States,United States,0,N/A,N/A
HM CARGO,C101202,80586,17700000,60465,68090,6080,R101721,2021-12-20,1,China,United Arab Emirates,0,N/A,N/A
HM CARGO,C101202,80586,17120000,34235,38505,8131,R101721,2021-12-20,1,China,United Arab Emirates,0,N/A,N/A
HM CARGO,C101204,80586,17120000,221810,234925,43021,R101722,2021-12-20,2,China,United Arab Emirates,0,N/A,N/A
HM CARGO,C101208,60056,17120000,174230,196495,36080,R101730,2021-12-20,2,United States,United States,0,N/A,N/A
HM CARGO,C101210,84917,42310000,2092680,2200650,268806,R101860,2021-12-20,19,Germany,Germany,0,N/A,N/A
HM CARGO,C101211,75480,48900000,98285,104690,19895,R101727,2021-12-20,2,China,Hungary,0,N/A,N/A
HM CARGO,C101216,40511,3000000,88525,96455,13085,R909,2022-04-01,2,United States,United States,0,N/A,N/A
HM CARGO,C101219,61090,37100000,211457,239686,30335,R101862,2021-12-20,18,Germany,United Kingdom,0,N/A,N/A
HM CARGO,C101221,60056,17120000,85780,93710,17923,R101733,2021-12-20,1,China,China,0,N/A,N/A
HM CARGO,C101222,60056,17120000,79680,87610,16838,R101724,2021-12-20,1,China,China,0,N/A,N/A
HM CARGO,C101224,60056,17120000,82425,88830,17071,R101726,2021-12-20,1,China,China,0,N/A,N/A
HM CARGO,C101225,60056,17120000,100115,106520,20221,R101729,2021-12-20,1,China,China,0,N/A,N/A
HM CARGO,C101229,60056,17120000,149525,158675,29482,R101742,2021-12-20,1,China,China,0,N/A,N/A
HM CARGO,C101235,60056,1200000,181947,195306,25081,R950,2022-04-01,10,Germany,Germany,0,N/A,N/A
HM CARGO,C101235,60056,36500000,30990,33328,7228,R950,2022-04-01,10,Germany,Germany,0,N/A,N/A
HM CARGO,C101251,60096,25600000,726280,954725,64606,R100129,2021-12-14,120,United States,United States,0,N/A,N/A
HM CARGO,C101252,85729,25800000,122380,141595,18468,R6099,2022-01-23,20,United Kingdom,United States,0,N/A,N/A
HM CARGO,C101253,60056,44420000,39115,39725,12669,R101732,2021-12-20,0,Republic of South Africa,Republic of South Africa,0,N/A,N/A
HM CARGO,C101254,60056,17120000,133360,135495,25427,R101746,2021-12-20,0,Republic of South Africa,Republic of South Africa,0,N/A,N/A
HM CARGO,C101255,60096,17120000,660095,733905,131251,R98637,2021-07-12,41,Belgium,Belgium,0,N/A,N/A
HM CARGO,C101256,16511,18300000,102555,105910,31864,R101741,2021-12-20,1,Republic of South Africa,Republic of South Africa,0,N/A,N/A
HM CARGO,C101259,60096,17620000,74190,87610,11961,R98638,2021-07-12,6,India,India,0,N/A,N/A
HM CARGO,C10270,74325,12900000,53608,54593,8053,R11816,2021-02-19,0,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C101261,90238,17620000,154100,194055,24682,R101737,2021-12-20,8,Greece,Greece,0,N/A,N/A
HM CARGO,C101262,60096,25600000,227701,326892,22893,R98639,2021-07-12,7,Italy,Italy,0,N/A,N/A
HM CARGO,C101263,60056,28690000,51315,77850,23471,R101747,2021-12-20,5,China,China,0,N/A,N/A
HM CARGO,C101265,60056,25500000,311480,332830,24078,R101749,2021-12-20,4,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C101267,60056,25800000,140680,149830,19579,R101758,2021-12-20,1,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C101271,6407,17120000,611600,666195,119393,R101736,2021-12-20,3,"Korea, Republic of","Korea, Republic of",0,N/A,N/A
HM CARGO,C101271,6407,4402000,10140,10750,2223,R101736,2021-12-20,3,"Korea, Republic of","Korea, Republic of",0,N/A,N/A
HM CARGO,C101271,6407,44420000,4955,5260,2662,R101736,2021-12-20,3,"Korea, Republic of","Korea, Republic of",0,N/A,N/A
HM CARGO,C101275,67828,17180000,1938350,3012865,526626,R97313,2021-05-12,1388,Hong Kong,Hong Kong,0,N/A,N/A
HM CARGO,C101276,60056,17620000,231875,277320,34785,R101755,2021-12-20,7,United States,United States,0,N/A,N/A
HM CARGO,C101277,85729,18290000,96760,108655,32571,R6101,2022-01-23,60,United States,United States,0,N/A,N/A
HM CARGO,C10272,60056,1100000,61488,72126,10089,R11978,2021-02-19,3,United Arab Emirates,United Arab Emirates,0,N/A,N/A
HM CARGO,C101282,60096,17120000,105712,143529,26483,R98616,2021-07-12,15,Canada,Canada,0,N/A,N/A
HM CARGO,C101283,85729,42310000,34235,40030,6233,R6102,2022-01-23,20,United States,United Kingdom,0,N/A,N/A
HM CARGO,C101285,58748,4409000,1629060,1780685,121953,R936,2022-04-01,20,Italy,Italy,0,N/A,N/A
HM CARGO,C101285,58748,35100000,24644,26982,4675,R936,2022-04-01,10,Italy,Italy,0,N/A,N/A
HM CARGO,C101291,60056,17120000,764100,794600,142514,R4035,2022-01-16,5,United Kingdom,United Kingdom,0,N/A,N/A
HM CARGO,C101292,3830,37100000,6482051,6591929,803975,R5714,2022-01-20,5,Germany,Germany,0,N/A,N/A
HM CARGO,C101292,3830,17620000,2412900,2453645,300344,R5714,2022-01-20,10,Germany,Germany,0,N/A,N/A
HM CARGO,C101292,3830,4409000,438105,445453,31933,R5714,2022-01-20,10,Germany,Germany,0,N/A,N/A
HM CARGO,C101294,60056,17120000,586056,597746,107654,R933,2022-04-01,1,Finland,Finland,0,N/A,N/A
HM CARGO,C101295,60056,17120000,522601,532955,96128,R925,2022-04-01,1,Finland,Finland,0,N/A,N/A
HM CARGO,C101301,55285,43700000,1679100,1827025,222825,R961,2022-04-01,18,China,China,0,N/A,N/A
HM CARGO,C101304,86503,17620000,320212,357283,44625,R7710,2022-01-26,8,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C101305,86503,17620000,1012876,1126427,137695,R7731,2022-01-26,23,Netherlands,Netherlands,0,N/A,N/A
HM CARGO,C101307,35847,18500000,83645,266645,76663,R97284,2021-05-12,491,Italy,Italy,0,N/A,N/A
HM CARGO,C101309,37592,32220000,38505,40335,6306,R1576,2022-05-01,10,Sweden,Sweden,0,N/A,N/A
HM CARGO,C101309,37592,17620000,313920,330695,41584,R1576,2022-05-01,5,Sweden,Sweden,0,N/A,N/A
