Custom Office,Reg Number,Importer,HS Code,FOB Value (N),CIF Value (N),Total Tax(N),Receipt Number,Receipt Date,Mass(KG),Country  of Origin,Country  of Supply,Nbr Of Containers,Container Nbr,Container Size
NT,C42869,44077,2111000,312156965,321448495,39096454,R50717,2021-06-05,74300,United Kingdom,United Kingdom,6,CLHU8558900,40HC
NT,C42873,2074,18500000,251790,251790,74269,R49851,2021-05-05,1000,United States,United States,1,MEDU7212956,40HC
NT,C42876,14006,28739000,501783,501783,146880,R49892,2021-05-05,2125,Germany,Germany,1,CBHU8805261,40HC
NT,C42887,97432,28739000,501783,501783,146880,R49893,2021-05-05,5500,Germany,Germany,1,BMOU4521077,45G0
NT,C42902,21621,13100000,3785182,4108065,1191534,R51293,2021-09-05,5000,China,China,1,CCLU6787180,40DV
NT,C42902,21621,15110000,9221200,10008215,679185,R51293,2021-09-05,8234,China,China,1,CCLU6787180,40DV
NT,C42906,28076,47100000,1794300,2093937,253870,R49875,2021-05-05,5803,China,China,1,MSCU7196709,40HC
NT,C42906,28076,4100000,1617000,1886890,128045,R49875,2021-05-05,5000,China,China,1,MSCU7196709,40HC
NT,C42910,73857,21901000,218300,436773,125704,R50429,2021-06-05,1000,China,China,1,TCNU4862190,40GP
NT,C42910,73857,28729000,41000,80794,36659,R50429,2021-06-05,1000,China,China,1,TCNU4862190,40GP
NT,C42914,49841,23410000,1833700,2310834,667309,R51624,2021-10-05,10000,China,China,1,PCIU8547530,40DV
NT,C42914,49841,4100000,1380600,1739731,117072,R51624,2021-10-05,17828,China,China,1,PCIU8547530,40DV
NT,C42915,62107,23410000,101479,101479,30612,R51492,2021-10-05,500,United States,United States,1,MRKU2711505,45G1
NT,C42916,65979,4409000,11299550,12169502,827004,R52677,2021-12-05,9250,China,China,1,CCLU6692124,40DV
NT,C42917,5788,2400000,8697771,10154586,682513,R50957,2021-09-05,21680,China,China,2,TCLU9582810,45G1
NT,C42917,5788,2400000,8697771,10154586,682513,R50957,2021-09-05,21680,China,China,2,TGHU9533899,45G1
NT,C42918,10931,27130000,501980,501980,146937,R49877,2021-05-05,3000,United Kingdom,United Kingdom,1,MEDU7028086,40HC
NT,C42919,82018,28739000,101676,101676,30670,R49882,2021-05-05,205,Germany,Germany,0,Unknown,Unknown
NT,C42936,45084,23410000,1593360,2011394,580957,R50169,2021-05-05,18690,China,China,1,MRKU7755872,22G1
NT,C42938,37607,11400000,707451,840229,149568,R52956,2021-05-13,8500,Denmark,Denmark,1,PONU7613289,45G1
NT,C42939,2714,28739000,101676,101676,30670,R50031,2021-05-05,1000,Netherlands,Netherlands,0,Unknown,Unknown
NT,C4438,61248,18500000,251790,251790,74269,R5580,2021-01-13,2000,Canada,Canada,1,BMOU4930877,40HC
NT,C42941,87080,27130000,251790,251790,74269,R51792,2021-10-05,1000,United Kingdom,United Kingdom,1,MRKU5706288,45G1
NT,C42946,94634,12200000,3300168,3649843,647683,R50028,2021-05-05,10000,India,India,1,GESU6335407,45G1
NT,C42946,94634,12900000,373536,412936,51340,R50028,2021-05-05,5574,India,India,1,GESU6335407,45G1
NT,C42971,16520,4100000,1183600,1294708,89068,R50975,2021-09-05,5000,China,China,1,GESU6858985,40DV
NT,C42971,16520,46900000,1183600,1294708,158249,R50975,2021-09-05,1476,China,China,1,GESU6858985,40DV
NT,C42973,18596,18500000,101676,101676,30670,R49992,2021-05-05,825,Italy,Italy,1,CLHU8423968,40HC
NT,C42982,53509,30800000,1957219,2336444,282898,R51393,2021-10-05,20000,China,China,1,PCIU8873120,40DV
NT,C42989,23191,36610000,2612835,3045447,539169,R51820,2021-10-05,5000,China,China,1,MSKU8929522,45G1
NT,C42989,23191,15900000,1636700,1907575,129451,R51820,2021-10-05,700,China,China,1,MSKU8929522,45G1
NT,C4443,49887,15110000,4576531,5308189,358387,R11470,2021-01-27,21000,China,China,1,MRKU2973110,45G0
NT,C43006,43088,21901000,101676,101676,30670,R50444,2021-06-05,300,Israel,Israel,1,MRKU3842069,45G1
NT,C4445,7421,4409000,4586381,4589708,316454,R6520,2021-01-14,25000,China,China,1,DFSU7263872,40DV
NT,C43020,95757,28719000,51638,51623,16133,R49972,2021-05-05,500,United States,United States,0,Unknown,Unknown
NT,C43034,26326,4401000,2956600,3426248,232094,R51306,2021-09-05,7600,China,China,1,ZCSU8967070,45G0
NT,C43034,26326,21901000,602450,697995,202866,R51306,2021-09-05,5000,China,China,1,ZCSU8967070,45G0
NT,C43034,26326,36200000,1922350,2227503,394832,R51306,2021-09-05,3000,China,China,1,ZCSU8967070,45G0
NT,C43035,62733,12400000,9236172,9536883,1696680,R50505,2021-06-05,10000,China,China,1,DFSU6862264,40DV
NT,C43042,12228,27120000,101676,101676,30670,R52101,2021-11-05,4000,Belgium,Belgium,0,Unknown,Unknown
NT,C43054,68784,4402000,4330872,4330872,298157,R51199,2021-09-05,9188,China,China,2,ZCSU7052520,45G0
NT,C43054,68784,4402000,4330872,4330872,298157,R51199,2021-09-05,9188,China,China,2,ZCSU8937055,45G0
NT,C43067,20667,41401000,4611400,5044209,72912,R50101,2021-05-05,2025,China,China,1,RFCU4096520,40DV
NT,C43073,34276,4402000,7123150,8018121,541784,R50103,2021-05-05,16300,China,China,1,MRKU4454392,45G1
NT,C43074,23928,28719000,101676,101645,30660,R50409,2021-06-05,250,United States,Belgium,0,Unknown,Unknown
NT,C43099,31217,18290000,501783,501783,146880,R52076,2021-11-05,900,Spain,Spain,1,TCLU5908637,40HC
NT,C43107,46643,4401000,35423776,37021840,2521507,R50814,2021-06-05,11266,Sweden,Sweden,1,MRKU5165769,45G1
NT,C43116,37489,28690000,251790,251790,74269,R50492,2021-06-05,1000,United States,United States,1,TGCU0236438,40HC
NT,C43128,37489,28690000,151714,151714,45203,R50482,2021-06-05,200,United States,United States,1,TCNU7279021,40HC
NT,C43130,37489,28690000,251790,251790,74269,R54503,2021-05-18,2000,United States,United States,1,MSCU7019895,40HC
NT,C43135,84526,4409000,13902708,14402300,983054,R50401,2021-06-05,8110,China,China,1,MSKU2722646,22G1
NT,C43149,1911,28739000,101676,101676,30670,R50171,2021-05-05,50,United States,United States,0,Unknown,Unknown
NT,C43159,20667,41401000,8497225,10165930,137379,R50197,2021-05-05,8119,China,China,2,GESU5798599,40DV
NT,C43159,20667,41401000,8497225,10165930,137379,R50197,2021-05-05,8119,China,China,2,CSLU6271928,40DV
